
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        160 K
Secure System                  108 Services                   0     56ÿ504 K
Registry                       152 Services                   0     37ÿ480 K
smss.exe                       568 Services                   0      1ÿ140 K
csrss.exe                      920 Services                   0      5ÿ848 K
wininit.exe                   1000 Services                   0      6ÿ432 K
services.exe                   676 Services                   0     10ÿ736 K
LsaIso.exe                     148 Services                   0      3ÿ548 K
lsass.exe                     1056 Services                   0     31ÿ824 K
svchost.exe                   1208 Services                   0     39ÿ540 K
fontdrvhost.exe               1236 Services                   0      3ÿ352 K
WUDFHost.exe                  1288 Services                   0     24ÿ876 K
svchost.exe                   1384 Services                   0     26ÿ080 K
svchost.exe                   1436 Services                   0     10ÿ356 K
svchost.exe                   1564 Services                   0     10ÿ756 K
svchost.exe                   1572 Services                   0      9ÿ040 K
svchost.exe                   1600 Services                   0      4ÿ788 K
svchost.exe                   1608 Services                   0     12ÿ256 K
svchost.exe                   1616 Services                   0      4ÿ584 K
svchost.exe                   1800 Services                   0     10ÿ256 K
svchost.exe                   1808 Services                   0      9ÿ348 K
svchost.exe                   1856 Services                   0     11ÿ432 K
svchost.exe                   1888 Services                   0     16ÿ056 K
svchost.exe                   1980 Services                   0      9ÿ636 K
IntelCpHDCPSvc.exe            1992 Services                   0      6ÿ876 K
svchost.exe                    992 Services                   0      6ÿ436 K
WUDFHost.exe                  1920 Services                   0     12ÿ024 K
svchost.exe                   2052 Services                   0      5ÿ344 K
svchost.exe                   2072 Services                   0     24ÿ928 K
svchost.exe                   2088 Services                   0      9ÿ296 K
svchost.exe                   2116 Services                   0      7ÿ484 K
svchost.exe                   2156 Services                   0     11ÿ972 K
svchost.exe                   2388 Services                   0      9ÿ372 K
IntelCpHeciSvc.exe            2404 Services                   0      6ÿ812 K
svchost.exe                   2480 Services                   0     13ÿ120 K
igfxCUIService.exe            2576 Services                   0      8ÿ624 K
svchost.exe                   2596 Services                   0      6ÿ048 K
svchost.exe                   2708 Services                   0      9ÿ796 K
svchost.exe                   2724 Services                   0      7ÿ440 K
svchost.exe                   2820 Services                   0      7ÿ180 K
svchost.exe                   2860 Services                   0      7ÿ516 K
svchost.exe                   2964 Services                   0     20ÿ216 K
svchost.exe                   3208 Services                   0     12ÿ164 K
svchost.exe                   3216 Services                   0      5ÿ300 K
svchost.exe                   3268 Services                   0     13ÿ124 K
svchost.exe                   3356 Services                   0      9ÿ796 K
svchost.exe                   3364 Services                   0      7ÿ952 K
Memory Compression            3376 Services                   0    293ÿ324 K
svchost.exe                   3444 Services                   0      7ÿ164 K
svchost.exe                   3556 Services                   0      9ÿ056 K
svchost.exe                   3572 Services                   0     26ÿ360 K
svchost.exe                   3688 Services                   0     17ÿ268 K
svchost.exe                   3716 Services                   0      6ÿ568 K
svchost.exe                   3928 Services                   0     22ÿ892 K
svchost.exe                   4028 Services                   0      6ÿ340 K
svchost.exe                   3512 Services                   0      6ÿ644 K
svchost.exe                   3612 Services                   0     21ÿ428 K
svchost.exe                   4124 Services                   0     13ÿ160 K
spoolsv.exe                   4268 Services                   0     20ÿ616 K
svchost.exe                   4492 Services                   0     19ÿ256 K
svchost.exe                   4552 Services                   0     12ÿ600 K
svchost.exe                   4676 Services                   0     10ÿ916 K
svchost.exe                   4684 Services                   0      7ÿ552 K
AnyDesk.exe                   4708 Services                   0     31ÿ144 K
svchost.exe                   4748 Services                   0     20ÿ832 K
svchost.exe                   4756 Services                   0      7ÿ752 K
svchost.exe                   4764 Services                   0     40ÿ260 K
svchost.exe                   4784 Services                   0     44ÿ504 K
OneApp.IGCC.WinService.ex     4872 Services                   0     45ÿ252 K
ijplmsvc.exe                  4924 Services                   0     11ÿ020 K
svchost.exe                   4936 Services                   0      9ÿ080 K
svchost.exe                   4996 Services                   0      8ÿ880 K
IntelAudioService.exe         5028 Services                   0     22ÿ548 K
esif_uf.exe                   5064 Services                   0      6ÿ300 K
jhi_service.exe               5088 Services                   0      6ÿ168 K
jenkins.exe                   5128 Services                   0     19ÿ896 K
